Name,Pro Bowl,Career Receptions,Career Yards,Career Touchdowns,Career Games,Adj. Rec. S.,Adj. Yards.S.,Adj.TDS.S,Adj.Rec.G,Adj.Yards.G,Adj.TDS.G,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues
Charone Peake,0,22,214,0,31,5.5,53.5,0,0.709677419,6.903225806,0,1.91,209,4.45,122,35.5,34,9.25,99,1172,10,1,1,0,1,0
Kenny Lawler,0,0,0,0,0,0,0,0,0,0,0,1.91,203,4.64,114,34.5,33.325,10.5,143,1706,27,0,0,0,0,0
Amari Cooper,1,357,5097,33,77,71.4,1019.4,6.6,4.636363636,66.19480519,0.428571429,1.85,211,4.42,,33,31.5,10,228,3463,31,0,1,0,0,0
Kevin White,0,25,285,0,14,5,57,0,1.785714286,20.35714286,0,1.91,215,4.35,123,36.5,32.625,9.25,144,1954,15,0,0,0,0,0
Devante Parker,0,235,3419,18,70,47,683.8,3.6,3.357142857,48.84285714,0.257142857,1.91,209,4.45,125,36.5,33.25,9.25,156,2775,33,1,0,0,1,0
Nelson Agholor,0,224,2515,18,71,44.8,503,3.6,3.154929577,35.42253521,0.253521127,1.83,198,4.42,125,36.5,32.25,9.25,178,2572,20,0,0,0,0,0
Breshad Perriman,0,95,1561,11,51,19,312.2,2.2,1.862745098,30.60784314,0.215686275,1.88,212,4.24,127,36.5,32,9.25,115,2243,16,0,0,0,0,0
Phillip Dorsett,0,124,1634,11,71,24.8,326.8,2.2,1.746478873,23.01408451,0.154929578,1.78,198,4.45,129,36,32.625,10.5,121,2132,17,1,0,0,1,0
Devin Smith,0,15,248,2,18,3,49.6,0.4,0.833333333,13.77777778,0.111111111,1.85,198,4.45,129,36,32.625,10.5,121,2503,30,1,1,0,0,1
Dorial Green-Beckham,0,68,941,6,31,13.6,188.2,1.2,2.193548387,30.35483871,0.193548387,1.98,237,4.49,119,33.5,32.5,9,87,1278,17,0,0,0,0,1
Devin Funchess,0,164,2265,21,62,32.8,453,4.2,2.64516129,36.53225806,0.338709677,1.93,232,4.7,122,38.5,33.5,9.75,126,1715,15,0,1,0,0,0
Tyler Lockett,1,276,3838,27,79,55.2,767.6,5.4,3.493670886,48.58227848,0.341772152,1.78,182,4.4,,35.5,30,8.325,249,3710,29,1,0,0,0,0
Jaelen Strong,0,31,330,4,20,6.2,66,0.8,1.55,16.5,0.2,1.93,217,4.44,,42,32.5,9,157,2287,17,0,0,0,0,0
Chris Conley,0,151,2013,11,69,30.2,402.6,2.2,2.188405797,29.17391304,0.15942029,1.91,213,4.35,139,45,33.75,9.875,117,1938,20,1,1,0,0,0
Sammie Coates,0,29,528,2,45,5.8,105.6,0.4,0.644444444,11.73333333,0.044444444,1.88,198,4.45,129,36,32.625,10.5,82,1757,13,0,1,0,0,0
Ty Montgomery,0,120,982,3,58,24,196.4,0.6,2.068965517,16.93103448,0.051724138,1.83,221,4.55,,40.5,31,10.125,172,2125,15,1,0,0,0,0
Jamison Crowder,0,299,3461,20,72,59.8,692.2,4,4.152777778,48.06944444,0.277777778,1.75,185,4.56,115,37,30.375,8.75,283,3641,23,1,0,0,0,0
Justin Hardy,0,95,946,9,73,19,189.2,1.8,1.301369863,12.95890411,0.123287671,1.78,192,4.56,114,36.5,32.125,10,387,4541,35,1,0,0,0,0
Vince Mayle,0,0,0,0,2,0,0,0,0,0,0,1.88,224,4.67,,35.5,31.75,9,148,2022,16,0,0,0,0,0
DeAndre Smelter,0,0,0,0,2,0,0,0,0,0,0,1.88,226,4.58,,,32.625,11,56,1060,11,0,0,0,0,0
Rashad Greene,0,30,185,2,25,6,37,0.4,1.2,7.4,0.08,1.82,182,4.53,,36.5,31.625,9,270,3830,29,1,0,0,0,0
Stefon Diggs,0,365,4623,30,70,73,924.6,6,5.214285714,66.04285714,0.428571429,1.83,195,4.46,115,35,31.25,10,150,2227,14,0,0,0,1,0
Tony Lippett,0,0,0,0,28,0,0,0,0,0,0,1.91,192,4.61,114,36,32.75,9.875,149,2247,15,1,0,0,0,0
J.J. Nelson,0,85,1475,11,58,17,295,2.2,1.465517241,25.43103448,0.189655172,1.8,156,4.28,,36,31.125,8.25,116,2273,20,1,0,0,0,0
Kenny Bell,0,0,0,0,0,0,0,0,0,0,0,1.85,197,4.42,129,41.5,31.625,9.25,181,2689,21,1,0,0,0,0
Keith Mumphrey,0,0,0,0,0,0,0,0,0,0,0,1.83,215,4.54,,32.5,31.125,9.125,88,1348,7,1,0,0,0,0
Kailen Clay,0,0,0,0,0,0,0,0,0,0,0,1.78,198,4.45,129,36,32.625,10.5,43,523,4,0,0,0,0,0
Geremy Davis,0,5,59,0,36,1,11.8,0,0.138888889,1.638888889,0,1.88,216,4.47,124,36.5,32.25,9.5,165,2292,7,1,0,0,0,0
Evan Spencer,0,0,0,0,1,0,0,0,0,0,0,1.88,208,4.54,124,35,31.825,10.125,52,579,7,1,1,0,0,0
Bud Sasser,0,0,0,0,0,0,0,0,0,0,0,1.88,210,4.62,120,34.5,33,10.125,116,1611,14,1,0,0,0,0
Darren Waller,0,108,1323,5,38,21.6,264.6,1,2.842105263,34.81578947,0.131578947,1.98,238,4.46,125,37,33.25,9,51,971,9,0,0,0,0,1
Neil Sterling,0,0,0,0,0,0,0,0,0,0,0,1.9,238,4.63,116,35.5,33.125,9.625,202,2615,22,1,0,1,0,0
Andre Debose,0,0,0,0,0,0,0,0,0,0,0,1.83,190,4.49,123,35.5,32.25,8.625,79,2111,4,1,0,0,1,0
Da'Ron Brown,0,0,0,0,0,0,0,0,0,0,0,1.83,205,4.54,120,37,32,10.25,155,2295,19,1,0,0,0,0
Dezmin Lewis,0,0,0,0,2,0,0,0,0,0,0,1.93,214,4.58,119,33.5,32.5,9.875,197,2668,24,1,0,0,0,0
Mario Alford,0,0,0,0,4,0,0,0,0,0,0,1.75,180,4.43,121,34,31.25,9.325,92,1497,13,0,0,0,0,0
Tre McBride,0,10,152,1,17,2,30.4,0.2,0.588235294,8.941176471,0.058823529,1.83,210,4.41,122,38,32.125,9,196,2653,19,1,0,1,0,0
Sammy Watkins,0,284,4244,31,76,47.33333333,707.3333333,5.166666667,3.736842105,55.84210526,0.407894737,1.85,211,4.43,126,34,32,9.625,240,3391,27,0,1,0,0,0
Mike Evans,1,462,7260,48,90,77,1210,8,5.133333333,80.66666667,0.533333333,1.96,231,4.53,120,37,35.125,9.625,151,2499,17,0,0,0,0,0
Odell Beckham Jr.,1,464,6511,48,75,77.33333333,1085.166667,8,6.186666667,86.81333333,0.64,1.8,198,4.43,122,38.5,32.75,10,143,2340,12,0,1,0,0,0
Brandin Cook,0,402,5730,34,88,67,955,5.666666667,4.568181818,65.11363636,0.386363636,1.78,189,4.33,120,36,30.75,9.625,226,3272,24,0,0,0,0,0
Kelvin Benjamin,0,209,3021,20,61,34.83333333,503.5,3.333333333,3.426229508,49.52459016,0.327868853,1.95,240,4.61,119,32.5,34.875,10.25,84,1506,19,0,0,0,0,0
Marqise Lee,0,174,2184,8,59,29,364,1.333333333,2.949152542,37.01694915,0.13559322,1.83,192,4.52,127,38,31.75,9.5,248,3655,29,0,0,0,0,0
Jordan Matthews,0,274,3288,22,73,45.66666667,548,3.666666667,3.753424658,45.04109589,0.301369863,1.91,212,4.46,120,35.5,33.25,10.375,262,3759,24,1,0,0,0,0
Paul Richardson,0,143,1809,12,64,23.83333333,301.5,2,2.234375,28.265625,0.1875,1.83,175,4.4,,38,32.625,8.875,156,2412,21,0,0,0,1,1
Davante Adams,1,431,5194,44,86,71.83333333,865.6666667,7.333333333,5.011627907,60.39534884,0.511627907,1.85,212,4.56,123,39.5,32.625,9,233,3301,38,0,0,0,0,0
Cody Latimer,0,70,935,6,66,11.66666667,155.8333333,1,1.060606061,14.16666667,0.090909091,1.91,215,4.52,,39,32.625,9.625,135,2042,17,0,0,0,0,0
Allen Robinson,1,355,4749,33,72,59.16666667,791.5,5.5,4.930555556,65.95833333,0.458333333,1.91,220,4.6,131,39,32,9.5,177,2479,17,0,1,0,0,0
Jarvis Landry,1,564,6188,32,96,94,1031.333333,5.333333333,5.875,64.45833333,0.333333333,1.8,204,4.58,110,28.5,31.75,10.25,137,1809,15,0,1,0,0,0
Josh Huff,0,51,523,4,37,8.5,87.16666667,0.666666667,1.378378378,14.13513514,0.108108108,1.8,206,4.51,115,38.5,31.25,9.375,144,2366,24,1,0,0,0,1
Donte Moncrief,0,204,2561,21,77,34,426.8333333,3.5,2.649350649,33.25974026,0.272727273,1.88,221,4.4,132,39.5,32.375,9.125,156,2371,20,0,0,0,0,0
John Brown,0,287,4290,28,87,47.83333333,715,4.666666667,3.298850575,49.31034483,0.321839081,1.78,179,4.34,,36.5,30.5,8.5,185,3380,34,1,0,1,0,0
Jalen Saunders,0,0,0,0,15,0,0,0,0,0,0,1.75,165,4.44,,34,30,8.875,203,3085,26,1,1,0,0,0
Bruce Ellington,0,79,769,5,44,13.16666667,128.1666667,0.833333333,1.795454545,17.47727273,0.113636364,1.75,197,4.45,120,39.5,31,9.625,106,1586,16,0,0,0,0,0
Shaq Evans,0,0,0,0,0,0,0,0,0,0,0,1.85,213,4.51,122,34.5,32,9.375,133,1956,14,1,1,0,0,0
Martavis Bryant,0,145,2183,17,44,24.16666667,363.8333333,2.833333333,3.295454545,49.61363636,0.386363636,1.93,211,4.42,124,39,32.625,9.5,61,1354,13,0,1,0,0,0
Kevin Norwood,0,9,102,0,10,1.5,17,0,0.9,10.2,0,1.88,198,4.48,121,33,32.125,10,81,1275,12,1,1,0,0,0
Ryan Grant,0,123,1333,7,80,20.5,222.1666667,1.166666667,1.5375,16.6625,0.0875,1.83,199,4.64,117,35.5,31,9.625,196,2769,21,1,0,0,1,0
Devin Street,0,10,152,1,35,1.666666667,25.33333333,0.166666667,0.285714286,4.342857143,0.028571429,1.93,198,4.55,,37,33.375,9.25,202,2901,16,1,0,0,0,0
Jared Abbrederis,0,13,163,0,21,2.166666667,27.16666667,0,0.619047619,7.761904762,0,1.88,195,4.5,116,30.5,31.375,9.625,202,3140,28,1,0,0,0,0
Robert Herron,0,6,58,1,8,1,9.666666667,0.166666667,0.75,7.25,0.125,1.75,193,4.48,125,35.5,30.5,9.75,152,2025,20,1,0,0,1,0
T.J. Jones,0,67,852,5,45,11.16666667,142,0.833333333,1.488888889,18.93333333,0.111111111,1.8,188,4.48,,33,,,181,2429,19,1,1,0,0,1
Matt Hazel,0,0,0,0,9,0,0,0,0,0,0,1.85,198,4.5,116,36.5,31.375,9.125,183,2553,28,1,0,1,0,0
Walt Powell,0,14,142,0,15,2.333333333,23.66666667,0,0.933333333,9.466666667,0,1.83,189,4.63,120,31.5,,,205,2634,28,0,0,0,0,0
Quincy Enunwa,0,119,1617,5,41,19.83333333,269.5,0.833333333,2.902439024,39.43902439,0.12195122,1.88,225,4.41,,,32.625,9.5,115,1526,15,1,0,0,0,0
Micahel Campanaro,0,31,310,2,24,5.166666667,51.66666667,0.333333333,1.291666667,12.91666667,0.083333333,1.8,192,4.46,122,39,30,9.75,229,2506,14,1,0,0,0,0
Jeff Janis,0,17,200,1,51,2.833333333,33.33333333,0.166666667,0.333333333,3.921568627,0.019607843,1.9,219,4.42,123,37.5,32.5,9,246,4305,46,1,0,1,0,0
James Wright,0,18,197,0,24,3,32.83333333,0,0.75,8.208333333,0,1.93,201,4.43,128,38.5,32.375,,25,304,0,1,1,0,0,0
Tevin Reese,0,0,0,0,0,0,0,0,0,0,0,1.78,163,4.46,,41,31.625,8.875,187,3102,24,1,0,0,1,0
Jeremy Gallon,0,0,0,0,0,0,0,0,0,0,0,1.73,185,4.49,130,39.5,29.5,9.375,173,2704,17,1,1,0,0,0
Tavon Austin,0,215,2006,15,96,30.71428571,286.5714286,2.142857143,2.239583333,20.89583333,0.15625,1.75,174,4.34,120,32,30,9.125,288,3413,29,1,0,0,0,0
Deandre Hopkins,1,632,8602,54,110,90.28571429,1228.857143,7.714285714,5.745454545,78.2,0.490909091,1.85,214,4.57,115,36,33.375,10,206,3020,27,0,1,0,0,0
Cordarrelle Patterson,0,195,1955,10,111,27.85714286,279.2857143,1.428571429,1.756756757,17.61261261,0.09009009,1.88,216,4.42,128,37,31.75,9,46,778,5,0,0,0,0,0
